#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
玻|玻璃 是 沙子 做的 。<br /><br />bōlí shì shāzǐ zuòde·.<br /><br />Glass is made from sand.
葛|葛拉德 在看 電視 。 — 他 看 電視 看 多久 了？<br /><br />gélādé zàikàn diànshì. — tā kàn diànshì kàn duōjiǔle·?<br /><br />Gerard's watching TV. How long has he been watching TV?
泳|他 很 會 游泳 。<br /><br />tā hěn huì yóuyǒng.<br /><br />He's a good swimmer.
膀|瑞娜亞 突然 感覺 有人 碰 她的 肩膀 。<br /><br />ruìnàyǎ tūrán gǎnjué yǒurén pèng tāde· jiānbǎng.<br /><br />Xenia suddenly felt somebody touch her on the shoulder.
賈|賈斯敏 說 她的 新工作 還 滿有趣的 。 >賈斯 敏 說 她的 新工作 本來 還 滿有趣的。<br /><br />jiǎsīmǐn shuō tāde· xīngōngzuò hái mǎnyǒuqùde·. >jiǎsīmǐn shuō tāde· xīngōngzuò běnlái hái mǎnyǒuqùde·.<br /><br />Jasmine said that her new job is pretty interesting. > Jasmine said that her new job was pretty interesting.
堡|葉夫根尼 下個 禮拜 要去 聖彼得堡 。 他 要 跟 幾個 朋友 去 。<br /><br />yèfūgēnní xiàge· lǐbài yàoqù shèngbǐdébǎo. tā yào gēn jǐge· péngyǒu qù.<br /><br />Yevgeniy's going to St. Petersburg next week. He's going to go with some friends.
灘|我們 一整天都 待在 沙灘上 。<br /><br />wǒmen yìzhěngtiāndōu dàizài shātānshàng.<br /><br />We spent all day at the beach.
芙|芙蘿拉 一天 工作 八個 小時 ， 一個 禮拜 工 作 六 天 。<br /><br />fúluólā yìtiān gōngzuò bāge· xiǎoshí, yīge· lǐbài gōngzuò liù tiān.<br /><br />Flora works eight (8) hours a day, six (6) days a week.
歉|你 該 為 你 說的話 道歉 。<br /><br />nǐ gāi wèi nǐ shuōde·huà dàoqiàn.<br /><br />You should apologize for what you said.
惹|如果 你 惹錯 人 ， 會有 很多 延伸的 問題 一 直 困擾 你 。<br /><br />rúguǒ nǐ rěcuò rén, huìyǒu hěnduō yánshēnde· wèntí yìzhí kùnrǎo nǐ.<br /><br />When you cause problems with the wrong people, those problems will come pay you back, or come back to haunt you.
愚|麗婷 在 她 需要錢 的時候 辭掉了 工作 ， 真 的 很愚蠢 。<br /><br />lìtíng zài tā xūyàoqián de·shíhòu cídiàole· gōngzuò, zhēnde· hěnyúchǔn.<br /><br />It's foolish of Liting to quit her job when she needs the money.
憾|我 很遺憾 聽到 這個 消息 。<br /><br />wǒ hěnyíhàn tīngdào zhège· xiāoxí.<br /><br />I'm sorry to hear that.
懶|你 太懶惰了 ， 沒有 盡力 工作 。<br /><br />nǐ tàilǎnduòle·, méiyǒu jǐnlì gōngzuò.<br /><br />You're lazy. You don't work hard enough.
姨|我的 父母 現在 在 動物園 。 我的 阿姨 現在 要去 動物園 跟 他們 會面 。<br /><br />wǒde· fùmǔ xiànzài zài dòngwùyuán. wǒde· āyí xiànzài yàoqù dòngwùyuán gēn tāmen huìmiàn.<br /><br />My parents are AT the zoo. My aunt is going TO the zoo to meet them there.
陌|要 對 陌生人 有禮貌 和 友善 。 他們 有可能 是 你 下一份 工作的 老闆 。<br /><br />yào duì mòshēngrén yǒulǐmào hàn yǒushàn. tāmen yǒukěnéngshì nǐ xiàyífèn gōngzuòde· lǎobǎn.<br /><br />Always be polite and nice to strangers. They might be the boss at your next job.
罩|因為 小偷 戴著 口罩 ， 所以 很難 指認 。<br /><br />yīnwèi xiǎotōu dàizhe· kǒuzhào, suǒyǐ hěnnán zhǐrèn.<br /><br />The thief was difficult to identify, as he was wearing a mask.
鹽|這湯裡 放了 好多 鹽 。<br /><br />zhètānglǐ fàngle· hǎoduō yán.<br /><br />There's a lot of salt in this soup.
飢|有些人 死於 飢餓， 而 有些人 卻 又 吃得 太 多 ， 真 糟糕。<br /><br />yǒuxiērén sǐyú jīè, ér yǒuxiērén què yòu chīdé tàiduō, zhēn zāogāo.<br /><br />It's terrible that some people are dying of hunger while others eat too much.
宴|我 有 很多 朋友 要 在 今年 結婚 。 我 收到 很多 婚宴 邀請函 。<br /><br />wǒ yǒu hěnduō péngyǒu yào zài jīnnián jiéhūn. wǒ shōudào hěnduō hūnyàn yāoqǐnghán.<br /><br />A lot of my friends are getting married this year. I've been getting lots of invitations TO wedding banquets.
翰|你 在等 約翰 嗎 ？<br /><br />nǐ zàiděng yuēhàn mā?<br /><br />Are you waiting for John?
膝|海蒂 因為 打 排球 弄傷了 她的 膝蓋<br /><br />hǎidì yīnwèi dǎ páiqiú nòngshāngle· tāde· xīgài<br /><br />Heidi hurt her knee playing volleyball.
裹|我 今天 寄了 包裹 給 他們 ， 所以 他們 應該 可以 在 星期一 收到 。<br /><br />wǒ jīntiān jìle· bāoguǒ gěi tāmen, suǒyǐ tāmen yīnggāikěyǐ zài xīngqíyī shōudào.<br /><br />I sent the package to them today, so they should receive it by Monday. > They should receive it no later than Monday.
涯|你 從 你的 大學教育生涯中 得到了 什麼 ？— 除了 專業的 學位 之外 ， 我 也 交了 很多 一 輩子的 好朋友 。<br /><br />nǐ cóng nǐde· dàxuéjiàoyùshēngyázhōng dédàole· shéme? — chúle· zhuānyède· xuéwèi zhīwài, wǒ yě jiāole· hěnduō yíbèizǐde· hǎopéngyǒu.<br /><br />What did you get out of your college education? — Besides a professional degree, I also made many friends for life.
戈|伊戈爾 以前 是 服務生 。現在 他 是 飯店 經 理。<br /><br />yīgēěr yǐqián shì fúwùshēng. xiànzài tā shì fàndiàn jīnglǐ.<br /><br />Igor used to be a waiter. Now he's the manager of a hotel.
雇|因為 我 有 很多 經驗 所以 他們 雇用 我 。<br /><br />yīnwèi wǒ yǒu hěnduō jīngyàn suǒyǐ tāmen gùyòng wǒ.<br /><br />They offered me the job because I had a lot of experience.
粹|她 接受 這個 工作 純粹 是 因為 很高的 薪水 。<br /><br />tā jiēshòu zhège· gōngzuò chúncuì shì yīnwèi hěngāode· xīnshuǐ.<br /><br />She only accepted the job because of the salary, which was very high.
棵|庭院裡 有 一棵 大樹 。<br /><br />tíngyuànlǐ yǒu yīkē dàshù.<br /><br />There's a big tree in the yard.
莉|西西莉亞的 爺爺 九十歲 過世。<br /><br />xīxīlìyǎde· yéyé jiǔshísuì guòshì.<br /><br />Cecilia's grandfather died when he was ninety (90) years old.
寡|「寡婦 」 是 指 丈夫 已經 過世的 女性。<br /><br />「guǎfù 」 shì zhǐ zhàngfū yǐjīng guòshìde· nǚxìng.<br /><br />A widow is a woman whose husband has already passed away.
爵|她 不喜歡 爵士樂 。<br /><br />tā bùxǐhuān juéshìyuè.<br /><br />She doesn't like jazz music.
嫂|我 哥哥 和 嫂嫂 (弟弟 和 弟媳) 不住 這裡 了 。他們 搬去 西雅圖 。他們 搬去 西雅圖 了。<br /><br />wǒ gēgē hàn sǎosǎo (dìdì hàn dìxí) búzhù zhèlǐ le·. tāmen bānqù xīyǎtú. tāmen bānqù xīyǎtú le·.<br /><br />My brother and his wife don't live here any more. They moved to Seattle. > They've moved to Seattle.
帕|帕維爾 明天 會打 網球。<br /><br />pàwéiěr míngtiān huìdǎ wǎngqiú.<br /><br />Pavel's playing tennis tomorrow.
嗯|你 覺得 還好嗎 ？— 嗯 ， 還好。<br /><br />nǐ juéde háihǎomā? — ń, háihǎo.<br /><br />Do you feel okay? — Yes, I do.
婉|我 得到了 一份 石油公司的 工作 ， 但 我 決 定 婉拒 。<br /><br />wǒ dédàole· yífèn shíyóugōngsīde· gōngzuò, dàn wǒ juédìng wǎnjù.<br /><br />I was offered a job at the oil company, but I decided to turn it down.
廁|她 在 廁所 。<br /><br />tā zài cèsuǒ.<br /><br />She's in the bathroom.
桶|如果 你 要丟 可以回收的 垃圾 ， 你 應該要把 它 丟在 適合的 垃圾桶裡 。<br /><br />rúguǒ nǐ yàodiū kěyǐhuíshōude· lèsè, nǐ yīnggāiyàobǎ tā diūzài shìhéde· lèsètǒnglǐ.<br /><br />If you have trash that can be recycled, throw it away in the proper bins.
鮑|電腦 目前 有人 在用 嗎 ？— 有 ， 鮑里斯 在 用 。<br /><br />diànnǎo mùqián yǒurén zàiyòng mā? — yǒu, bàolǐsī zàiyòng.<br /><br />Is the computer being used at the moment? — Yes, Boris is using it.
薦|你 住了 一間 飯店 就是 帕維爾 推薦的 飯店。 > 我們 住了 帕維爾 所推薦的 飯店。<br /><br />nǐ zhùle· yìjiān fàndiàn jiùshì pàwéiěr tuījiànde· fàndiàn. > wǒmen zhùle· pàwéiěr suǒtuījiànde· fàndiàn.<br /><br />You stayed at a hotel. Pavel recommended it to you.
瑟|瑟吉 有 車 ，而 你 需要有人 載 你 去 車站 。 你 問 ：「 你 可以載 我 去 車站 嗎 ？」<br /><br />sèjí yǒu chē, ér nǐ xūyàoyǒurén zài nǐ qù chēzhàn. nǐ wèn ：「 nǐ kěyǐzài wǒ qù chēzhàn mā? 」<br /><br />Serge has a car and you need a ride to the station. You ask, "Could you give me a ride to the station?"
蜜|蜜瑞安 已經 讀 英文 六個 月 了。<br /><br />mìruìān yǐjīng dú yīngwén liùge· yuè le·.<br /><br />Miriam's been studying English for six (6) months.
筒|郵筒 在 街角 。<br /><br />yóutǒng zài jiējiǎo.<br /><br />The mailbox is on the corner of the street.
媳|我 哥哥 和 嫂嫂 (弟弟 和 弟媳) 不住 這裡 了 。他們 搬去 西雅圖 。他們 搬去 西雅圖 了。<br /><br />wǒ gēgē hàn sǎosǎo (dìdì hàn dìxí) búzhù zhèlǐ le·. tāmen bānqù xīyǎtú. tāmen bānqù xīyǎtú le·.<br /><br />My brother and his wife don't live here any more. They moved to Seattle. > They've moved to Seattle.
騷|那個 搖滾明星 需要 保鑣 來保護 ， 避免 受到 瘋狂歌迷的 騷擾 。<br /><br />nàge· yáogǔnmíngxīng xūyào bǎobiāo láibǎohù, bìmiǎn shòudào fēngkuánggēmíde· sāorǎo.<br /><br />The rock star needs a bodyguard to protect him from crazy fans.
芝|我 住在 芝加哥 很久了 。<br /><br />wǒ zhùzài zhījiāgē hěnjiǔle·.<br /><br />I've lived in Chicago for a long time.
趟|我 今天 要去 趟 銀行 。— 銀行 在 這 附近 嗎 ？<br /><br />wǒ jīntiān yàoqù tàng yínháng. — yínháng zài zhè fùjìn mā?<br /><br />I have to go to the bank today. — Is there a bank near here?
巾|他 爬出 游泳池 ， 並 拿 毛巾 把 身體 擦乾 。<br /><br />tā páchū yóuyǒngchí, bìng ná máojīn bǎ shēntǐ cāgān.<br /><br />She climbed out of the swimming pool and dried herself off with a towel.
謊|他們 指責 我們 說謊 。<br /><br />tāmen zhǐzé wǒmen shuōhuǎng.<br /><br />They accused us of telling lies.
寞|如果 沒有人 能說說話 ， 我 會覺得 很寂寞 。<br /><br />rúguǒ méiyǒurén néngshuōshuōhuà, wǒ huìjuéde hěnjìmò.<br /><br />I get lonely if there's nobody to talk to.
籃|你 有 在 打球 嗎 ？— 有 ， 我 打 籃球 。<br /><br />nǐ yǒu zài dǎqiú mā? — yǒu, wǒ dǎ lánqiú.<br /><br />Do you play any sports? — Yes, I play basketball.
擱|公司的 財務狀況 耽擱了 蓋 新工廠 的 規劃 。<br /><br />gōngsīde· cáiwùzhuàngkuàng dāngēle· gài xīngōngchǎng de· guīhuà.<br /><br />Plans to build a new factory have been held up because of the company's financial problems.
宙|太陽 ， 這 宇宙中 數以百萬 計的 恆星 之一 ， 為 我們 提供了 熱 和 光 。<br /><br />tàiyáng, zhè yǔzhòuzhōng shùyǐbǎiwàn jìde· héngxīng zhīyī, wèi wǒmen tígōngle· rè hàn guāng.<br /><br />The sun, which is one (1) of millions of stars in the universe, provides us with heat and light.
漆|我 現在 不能用 辦公室 。正在 油漆中。<br /><br />wǒ xiànzài bùnéngyòng bàngōngshì. zhèngzài yóuqīzhōng.<br /><br />I can't use my office right now. It's being painted.
怖|繁  他們 喜歡 恐怖片 。<br /><br />tāmen xǐhuān kǒngbùpiàn.<br /><br />They like horror movies.
吼|嫌犯 對 警方 大吼 。<br /><br />xiánfàn duì jǐngfāng dàhǒu.<br /><br />The suspect was shouting at the police very loudly.
裙|她 今天 穿 裙子 ， 但 昨天 是 穿 褲子 。<br /><br />tā jīntiān chuān qúnzǐ, dàn zuótiān shì chuān kùzǐ.<br /><br />Today she's wearing a skirt, but yesterday she was wearing pants.
愉|旅途 愉快 ！<br /><br />lǚtú yúkuài!<br /><br />Have a good trip. Have a nice time. Have a good flight. Have fun!
肌|防曬霜 可以保護 肌膚 ， 免 受 陽光中的 紫外 線 照射 所產生的 不良影響 。<br /><br />fángshàishuāng kěyǐbǎohù jīfū, miǎn shòu yángguāngzhōngde· zǐwàixiàn zhàoshè suǒchǎnshēngde· bùliángyǐngxiǎng.<br /><br />Sunblock protects the skin from the harmful effects of the sun's ultraviolet (UV) rays.
晴|又 在下雨了 。— 真的 嗎 ？ 十分鐘前 還是 晴天 。<br /><br />yòu zàixiàyǔle·. — zhēnde· mā? shífēnzhōngqián háishì qíngtiān.<br /><br />It's raining again. — It is? It was sunny ten (10) minutes ago.
薪|他的 薪水 很少 ， 少到 甚至 沒辦法 過 生活 。<br /><br />tāde· xīnshuǐ hěnshǎo, shǎodào shénzhì méibànfǎ guò shēnghuó.<br /><br />His salary is so low that he doesn't have enough to live on.
逮|我的 一個 朋友 被 逮捕了 。 聽說 他 打 警察 。> 據 稱 他 襲警 。<br /><br />wǒde· yīge· péngyǒu bèi dǎibǔle·. tīngshuō tā dǎ jǐngchá. > jù chēng tā xíjǐng.<br /><br />A friend of mine has been arrested. It's alleged that he hit a police officer.
刮|你 刮 鬍子 刮到 流血 嗎？<br /><br />nǐ guā húzǐ guādào liúxiě mā?<br /><br />Did you cut yourself shaving?
寓|這 公寓 沒有 自己的 停車位 是 一個 缺點 。<br /><br />zhè gōngyù méiyǒu zìjǐde· tíngchēwèi shì yīge· quēdiǎn.<br /><br />It's a shame that the apartment doesn't have its own parking space.
駁|到 機場的 接駁車 每半小時 一班 。<br /><br />dào jīchǎngde· jiēbóchē měibànxiǎoshí yībān.<br /><br />The shuttle that goes to the airport runs every half hour.
糕|我 昨天 做了 一個 蛋糕 。<br /><br />wǒ zuótiān zuòle· yīge· dàngāo.<br /><br />I made a cake yesterday.
傍|他 明天 傍晚 可能會出去 。<br /><br />tā míngtiān bàngwǎn kěnénghuìchūqù.<br /><br />He might go out tomorrow evening.
煮|你 喜歡 煮飯 嗎 ？<br /><br />nǐ xǐhuān zhǔfàn mā?<br /><br />Do you like to cook?
訝|對於 我 簡單的 提議 ， 她的 反應 讓 我 感到 很驚訝 。<br /><br />duìyú wǒ jiǎndānde· tíyì, tāde· fǎnyìng ràng wǒ gǎndào hěnjīngyà.<br /><br />I was very surprised BY her reaction TO my simple suggestion.
咖|你 想喝 咖啡 嗎 ？<br /><br />nǐ xiǎnghē kāfēi mā?<br /><br />Would you like some coffee?
胎|這兩 兄弟 是 同卵雙胞胎 。 所以 大家 常 把 他們 兩個 搞混 。<br /><br />zhèliǎng xiōngdì shì tóngluǎnshuāngbāotāi. suǒyǐ dàjiā cháng bǎ tāmen liǎngge· gǎohùn.<br /><br />The two (2) brothers are identical twins, so everybody gets them mixed up.
躁|他 對於 弟弟 要把 父母 送到 安養院的 想法 感到 很煩躁 。<br /><br />tā duìyú dìdì yàobǎ fùmǔ sòngdào ānyǎngyuànde· xiǎngfǎ gǎndào hěnfánzào.<br /><br />He's upset with him because he wants to put their parents in a nursing home.
砰|我 聽到 有人 在 半夜 砰的 一聲 關上 門 。<br /><br />wǒ tīngdào yǒurén zài bànyè pēngde· yìshēng guānshàng mén.<br /><br />I heard someone slamming the door in the middle of the night.
妮|妮可 有 車子 嗎 ？<br /><br />nīkě yǒu chēzǐ mā?<br /><br />Does Nicole have a car? > Has Nicole got a car?
狹|連接 這兩個 小鎮的 道路 非常 狹窄 。<br /><br />liánjiē zhèliǎngge· xiǎozhènde· dàolù fēicháng xiázhǎi.<br /><br />The road connecting the two (2) towns is very narrow.
淳|你 好， 淳子 。 很高興 再 見到 你 。 你 好 嗎？<br /><br />nǐ hǎo, chúnzǐ. hěngāoxìng zài jiàndào nǐ. nǐ hǎo mā?<br /><br />Hello, Junko. It's nice to see you again. How are you?
羨|不要羨慕 或 忌妒 學校裡 那個 受歡迎的 女生 。<br /><br />búyàoxiànmù huò jìdù xuéxiàolǐ nàge· shòuhuānyíngde· nǚshēng.<br /><br />Don't be jealous or envious of that popular girl in school.
襯|襯衫 已經 被 燙過了 。<br /><br />chènshān yǐjīng bèi tàngguòle·.<br /><br />The shirts have been ironed. > The shirts got ironed.
緬|繁  我們 住在 緬恩街 。 我們 住 那裡 好久了 。<br /><br />wǒmen zhùzài miǎnēnjiē. wǒmen zhù nàlǐ hǎojiǔle·.<br /><br />We live on Main Street. We've lived there for a long time.
倦|我 很厭倦 每天都 吃 一樣的 東西 。 我們 去 吃點 別的 吧 。<br /><br />wǒ hěnyànjuàn měitiāndōu chī yíyàngde· dōngxī. wǒmen qùchīdiǎn biéde· ba·.<br /><br />I'm tired of eating the same food every day. Let's try something different.
竊|警察 正在 找 失竊的 車 。<br /><br />jǐngchá zhèngzài zhǎo shīqiède· chē.<br /><br />The police are looking for the stolen car.
匙|我 無法 開門 。 我 沒有 鑰匙 。<br /><br />wǒ wúfǎ kāimén. wǒ méiyǒu yàoshi·.<br /><br />I can't open the door. I don't have the key.
